,accuracy,contest_code,problem_code,successful_submissons,tags
0,0.0,COOK96B,CHAQOT,0.0,"['hard', 'dynamic-programming', 'persistence', 'lca', 'segment-tree']"
0,10.862619808306999,COOK96B,CHGCDG,29.0,"['pre-process', 'math', 'sieve', 'gcd', 'implementation']"
0,20.731707317073,COOK96A,F2NDMAX,17.0,"['implementation', 'graph-theory']"
0,49.826989619377,COOK96A,ORMATRIX,257.0,"['implementation', 'array', 'simple']"
0,92.857142857143,COOK96A,ENCMSG,11.0,"['implementation', 'string']"
0,6.7567567567568,COOK96A,STICKS2,30.0,"['implementation', 'logic', 'binary-search']"
0,34.615384615385,COOK96A,CHAQOT,9.0,"['hard', 'dynamic-programming', 'persistence', 'lca', 'segment-tree']"
0,22.222222222221998,COOK96A,CHGCDG,83.0,"['pre-process', 'math', 'sieve', 'gcd', 'implementation']"
0,20.136518771331,ICOP1901,DECUNI,56.0,"['bfs', 'easy', 'pre-processing']"
0,4.0,ICOP1901,ARRCENT,4.0,"['easy', 'prefix-sum']"
0,35.928143712575,ICOP1901,TREEUGH,59.0,"['difference-array', 'lazy', 'easy', 'dfs', 'euler-tour']"
0,21.923457604751,JULY18B,MGCSET,3795.0,['simple']
0,21.641246146357002,JULY18B,PINS,4919.0,['cakewalk']
0,6.4075351552136,JULY18B,NSA,876.0,['easy']
0,28.202160493826998,JULY18B,EQUILIBR,680.0,['easy-medium']
0,3.0842230130486,JULY18B,SUBWAY,16.0,['medium-hard']
0,3.6638226034585,JULY18B,NMNMX,708.0,['easy']
0,4.9836981835119,JULY18B,GEARS,183.0,['medium']
0,1.2765957446808998,JULY18B,PDELIV,3.0,['medium-hard']
0,12.5,JULY18B,PFRUIT,2.0,['hard']
0,2.7834525025536,JULY18A,PDELIV,92.0,['medium-hard']
0,6.5573770491803005,JULY18A,PFRUIT,27.0,['hard']
0,45.983379501385,JULY18A,EQUILIBR,467.0,['easy-medium']
0,2.6797385620915,JULY18A,SUBWAY,39.0,['medium-hard']
0,9.0002694691458,JULY18A,NMNMX,575.0,['easy']
0,11.012183692595999,JULY18A,GEARS,400.0,['medium']
0,47.213114754097994,JULY18A,MGCSET,140.0,['simple']
0,43.854748603352,JULY18A,PINS,149.0,['cakewalk']
0,26.461538461538,LTIME61B,TREESORT,85.0,"['likecs', 'greedy', 'dfs', 'easy-medium', 'bottom-up']"
0,0.53908355795148,LTIME61B,XORSORT2,2.0,"['bitwise-operatn', 'likecs', 'medium-hard', 'binary-search', 'meet-in-middle']"
0,0.0,LTIME61B,TBGRAPH,0.0,"['likecs', 'hard', 'dsu', 'dynamic-programming']"
0,1.9417475728155,LTIME61B,DOCSDEL,8.0,"['likecs', 'prefix', 'queries', 'medium']"
0,62.486910994764,LTIME61B,NUM239,2343.0,"['likecs', 'prefix-sum', 'cakewalk']"
0,13.609223800699999,LTIME61B,SUMPOWER,645.0,"['likecs', 'easy', 'prefix-sum', 'sliding-window']"
0,4.390243902439,LTIME61A,XORSORT2,9.0,"['bitwise-operatn', 'likecs', 'medium-hard', 'binary-search', 'meet-in-middle']"
0,6.8965517241379,LTIME61A,TBGRAPH,2.0,"['likecs', 'hard', 'dsu', 'dynamic-programming']"
0,35.964912280702,LTIME61A,TREESORT,122.0,"['likecs', 'greedy', 'dfs', 'easy-medium', 'bottom-up']"
0,7.1428571428571,LTIME61A,DOCSDEL,27.0,"['likecs', 'prefix', 'queries', 'medium']"
0,43.021346469622,LTIME61A,SUMPOWER,257.0,"['likecs', 'easy', 'prefix-sum', 'sliding-window']"
0,84.210526315789,LTIME61A,NUM239,16.0,"['likecs', 'prefix-sum', 'cakewalk']"
0,3.5714285714286,COOK95B,SONYASEG,8.0,"['geometry', 'easy', 'looping', 'line']"
